userid,credit_type_id,regularity,credit_rate,issuance_date,expire_date
9985186751,876900128910,100,15,2014-09-22,2015-08-14
6846062792,710020587903,45,20,2018-06-12,2025-06-19
6750283952,278323792444,135,16,2015-03-15,2023-12-09
1809539014,433052552464,116,24,2017-06-12,2029-02-27
4726587026,515977709898,16,10,2016-11-06,2021-03-12
6549248717,898097257665,8,2,2009-12-12,2021-11-28
8761244561,493563268971,101,17,2010-04-15,2018-01-23
2498878978,837977191259,300,11,2013-09-22,2020-11-04
4881865340,750924183537,46,6,2019-08-12,2031-01-23
5319185972,645157762526,101,22,2015-07-26,2018-02-23
9415670859,621653502888,57,22,2008-04-10,2012-01-05
1871333805,474849681636,316,13,2012-08-15,2016-06-06
2761497829,831300788023,45,4,2015-02-17,2019-09-06
3700676599,554718468677,150,13,2019-10-10,2029-12-12
9015514994,679647150531,138,27,2017-10-02,2018-07-29
2963290855,369253364030,106,0,2014-03-04,2025-03-05
4519861745,158503545416,231,3,2017-09-09,2019-08-30
8131765277,332549682221,109,10,2011-11-05,2014-04-30
8316306783,453888821756,338,27,2009-01-25,2013-03-10
9767009661,434546888493,328,15,2018-07-26,2021-06-16
5547609347,956032051738,85,2,2015-03-22,2020-01-02
6991813327,445331815691,58,2,2013-12-13,2022-12-15
7019323536,235886592015,334,9,2014-12-22,2026-12-13
8106608759,991201908499,292,15,2013-12-25,2014-10-16
5964875031,573153861495,147,6,2010-05-31,2012-12-30
1779184528,541229357283,226,23,2010-02-03,2017-01-23
8748514911,789424467321,64,6,2017-01-23,2024-12-04
4008249544,954395840686,304,13,2013-12-09,2016-08-01
9882610030,246477551486,353,3,2012-07-30,2019-04-14
8438889973,235636809895,315,10,2008-09-26,2017-12-26
1152922358,833877936719,329,8,2009-04-16,2020-08-25
3155739176,790420344325,319,27,2009-01-26,2013-08-22
1587037746,898869444777,270,1,2014-04-08,2021-03-14
4371468551,440256589868,270,6,2013-09-29,2020-05-23
1507897334,122298912312,199,22,2013-10-18,2025-07-09
9629433376,434340928512,86,18,2010-04-30,2018-12-19
5177029365,493821292528,55,6,2011-04-05,2018-05-30
5620002538,121212347963,178,1,2013-09-29,2018-12-20
2785041245,859590654694,218,3,2010-11-30,2019-10-01
3646143373,952279237170,253,0,2015-06-24,2026-10-07
2724037015,703107498183,84,7,2015-01-23,2019-01-28
7465248597,265901244730,204,7,2019-10-11,2029-01-22
9957926707,358782988215,202,7,2012-06-10,2017-08-25
4427516880,149258267307,341,2,2017-05-01,2021-10-07
8374711199,201156049138,64,7,2009-04-08,2016-05-30
9939222108,890236514634,338,12,2019-06-28,2029-01-09
4214800124,592789373152,364,2,2017-05-27,2017-10-18
4567265893,513376646899,326,25,2014-04-02,2017-06-17
9982207735,197943765137,213,23,2012-06-16,2016-02-19
6474098315,492459653658,11,21,2017-08-31,2025-01-23
8177848991,989559806112,72,15,2019-01-23,2024-12-16
8718448322,890191442239,167,4,2010-11-04,2012-05-17
6184060792,732680277201,205,13,2013-10-06,2016-02-12
7290224476,969416484420,244,28,2018-08-29,2020-06-14
2996989945,678663054422,104,14,2012-08-12,2019-05-11
2500629979,502538620329,311,15,2016-07-03,2018-09-06
9663303335,745515498070,339,27,2016-06-01,2027-05-07
6136571212,821180377548,120,20,2017-08-25,2022-06-19
7462017240,436227058589,79,25,2013-05-31,2022-09-04
4638745816,362989322159,355,28,2011-12-09,2012-01-03
7806045327,627942855865,231,23,2017-11-10,2025-12-14
1540517862,536729380766,203,29,2011-02-22,2011-07-30
3321585008,784952728640,364,24,2008-01-27,2010-09-01
5021175689,447628704323,341,7,2017-12-12,2027-04-15
5634409611,573516481278,153,18,2009-12-30,2014-05-03
2391587730,350610186403,312,22,2012-02-07,2022-06-15
3027734408,314819182937,208,11,2019-03-30,2022-03-22
8509109578,481845158880,285,19,2019-04-09,2030-12-10
4423559318,481042960702,234,0,2013-11-15,2024-03-25
7562040048,491112730805,123,6,2018-05-15,2023-06-26
2116126854,280415259052,266,2,2016-02-26,2020-06-17
9836766497,571603965012,79,12,2019-07-06,2022-02-28
3680128862,453212358944,91,19,2012-03-20,2017-11-24
1098011715,508986377577,131,3,2010-10-21,2010-11-28
7111623226,702498968117,110,6,2010-11-24,2014-04-11
4618155086,971778640857,16,30,2009-03-08,2009-05-26
2229043709,550448844455,138,14,2009-11-30,2021-01-14
2019739748,431204164642,27,26,2008-03-23,2014-11-11
4453053207,948691037866,277,13,2012-06-02,2014-01-13
2857170191,389968487795,294,5,2013-04-26,2023-01-19
5354497472,183336762610,294,7,2008-07-17,2013-12-28
2338434186,976546318363,244,28,2009-08-30,2010-10-16
7207237850,843293880995,32,16,2010-11-08,2019-09-16
7755528331,682462287388,295,12,2017-02-20,2028-10-21
7913468916,559374830070,153,12,2008-02-19,2013-10-06
7620036317,764471344625,330,11,2012-01-23,2022-05-23
9145902470,178473742859,51,21,2015-12-19,2024-10-19
8236395044,517280797952,157,15,2009-05-11,2009-05-24
5328473990,792145323685,344,10,2015-08-25,2024-08-29
3624692906,448950893741,330,30,2009-07-22,2012-01-13
6752435604,647573955141,240,2,2012-01-30,2021-11-02
1974236581,837569678686,121,4,2009-12-03,2020-04-04
7293475554,260368980578,112,29,2016-08-23,2019-11-05
