userid,deposit_type_id,regularity,deposit_rate,issuance_date,expire_date
9985186751,931942348874,184,13,2009-08-23,2010-05-11
6846062792,979607450520,174,22,2015-03-05,2022-10-13
6750283952,649368365496,51,15,2016-03-27,2022-11-03
1809539014,569598006197,165,21,2012-11-10,2015-08-02
4726587026,640796017516,127,5,2015-01-16,2020-01-01
6549248717,345391941326,194,8,2008-07-19,2014-07-31
8761244561,279318749959,26,19,2009-09-30,2021-02-09
2498878978,814947457844,200,30,2011-10-26,2011-11-03
4881865340,579257574300,25,5,2018-07-25,2019-09-01
5319185972,132702442757,365,11,2012-06-25,2020-12-21
9415670859,246280929998,336,3,2009-04-22,2013-01-05
1871333805,125169382128,347,16,2011-06-24,2020-10-14
2761497829,104895922670,251,26,2008-03-24,2009-10-01
3700676599,767769162373,151,17,2011-03-28,2021-01-29
9015514994,582596195355,325,14,2011-08-29,2015-05-28
2963290855,365191392809,51,27,2008-08-02,2015-06-19
4519861745,417691165516,302,18,2016-05-14,2023-09-19
8131765277,115930428525,242,4,2017-10-22,2028-09-19
8316306783,845759199254,143,26,2011-01-10,2011-11-20
9767009661,392853770072,214,10,2015-05-04,2023-10-20
5547609347,442228605972,216,24,2018-10-01,2027-09-05
6991813327,880616362073,320,22,2016-02-08,2025-08-13
7019323536,188478893574,3,6,2014-11-26,2025-01-18
8106608759,717456477223,241,18,2015-11-21,2018-06-15
5964875031,992342345351,307,26,2013-05-12,2017-07-17
1779184528,504443107992,146,7,2013-09-15,2022-04-27
8748514911,535695710112,141,28,2016-08-08,2019-08-15
4008249544,287595724029,27,24,2010-03-25,2013-09-28
9882610030,388349882510,120,30,2014-02-27,2021-04-01
8438889973,383902873941,338,1,2018-01-15,2021-06-06
1152922358,948584133916,308,16,2016-09-14,2022-08-17
3155739176,295576141246,187,19,2014-01-21,2016-08-08
1587037746,672377209330,252,28,2014-08-09,2026-02-10
4371468551,907443586719,315,27,2013-03-17,2015-12-02
1507897334,648964397210,310,2,2012-02-21,2019-10-25
9629433376,394359443841,50,9,2009-10-17,2019-02-02
5177029365,443011370777,4,3,2016-01-18,2020-03-14
5620002538,330156830855,36,10,2016-05-25,2018-12-11
2785041245,886146672557,360,0,2019-06-15,2026-02-02
3646143373,934188698081,103,21,2019-09-25,2020-06-14
2724037015,323779291860,148,3,2008-09-20,2015-06-27
7465248597,101219435843,277,29,2018-12-22,2030-07-10
9957926707,227889581665,195,1,2009-02-15,2014-08-23
4427516880,485965996656,138,18,2012-07-23,2016-10-02
